,AIC,cost,country,time,a,r,beta_I,beta_A,mu_I,mu_A,nu,I0,alpha,t_lock,beta_lock
0,-2486.6579062593178,4.3425215700871005e-10,Italy,rational,0.0,0.0,0.4097218741331901,1.1305324381094572,0.04876434580390665,0.2789375625871976,0.037025970416590885,2.438331190963951e-14,0.0559628225955968,,
1,-2330.009699914413,6.623529653785887e-10,Germany,fermi,0.0,0.0,0.1082984610720214,0.4328019508905836,2.748896783679528e-05,0.004495980458010082,47.82862866171976,1.5619252523234266e-12,0.08179728579153522,17.448598252325414,
2,-2292.5427425858024,2.3146921004425208e-09,Italy,exp,0.0,0.0,0.20846877106986156,0.4310529844817033,0.05851028526125392,0.24895393760647055,0.3911989054345682,1.965276917353272e-08,0.032193511432542864,,
3,-2266.476454462353,8.199298447469117e-10,United Kingdom,rational,0.0,0.0,0.2525774398668607,0.5710745501796343,0.06678900226453373,0.4965873857294447,4.552382525598612,8.645141965252883e-12,0.04053779782167015,,
4,-2218.381845721646,1.8435953825763318e-09,Germany,rational,0.0,0.0,0.5484490926679121,0.010769499098118505,0.17938506892144515,1.625409514050594,5.626262834551491,7.539876030165166e-09,0.025655932454840182,,
5,-2190.813051621575,2.3633620239749104e-09,Germany,exp,0.0,0.0,0.5224758409918624,0.1603530941040849,0.19405045564266102,0.4001187804164799,0.3532850264744207,9.577977952253786e-09,0.02098058097718477,,
6,-2179.9859316587285,1.2214428584359712e-09,Belgium,fermi,0.0,0.0,0.4865981123809216,0.04138095947448468,0.010297041462578491,10.009571534560967,37.85835220328472,1.3651492501212336e-10,0.06389723938836282,11.857125451744547,
7,-2164.5651167784413,6.857141694528742e-09,Italy,fermi,0.0,0.0,0.00011495962616883279,1.8173190486077275,0.7340122121446598,2.6162003694366245,0.8471440616374325,1.6921205296840705e-07,0.005630328015462506,17.950189777028093,
8,-2147.1428218591072,1.6915907712598973e-09,Belgium,rational,0.0,0.0,0.30667784657292163,0.5796045746574996,0.11366589257353933,0.3895882992915295,0.6020649176171455,6.772003404136904e-11,0.037524560265371015,,
9,-2120.591592347481,3.126320434053563e-09,United Kingdom,exp,0.0,0.0,0.01840529440765768,0.5836577619551787,0.2253511082932585,0.3294459883936255,0.4471359251475339,1.7180610823948273e-08,0.011499558697721898,,
10,-2113.3586887175547,6.666418445050974e-09,Spain,rational,0.0,0.0,0.004146235547836429,1.1112164537799525,0.16556429252850732,0.006514343386023952,0.8324911362061309,1.4817590006891225e-13,0.045514431543535135,,
11,-2104.281157550392,3.5649325209235245e-09,United Kingdom,fermi,0.0,0.0,0.1899221611487414,0.6522128219494892,0.3709211968668379,0.9046435758905182,0.03133543707263698,5.211538389969282e-08,0.008316008646462644,21.09841894381182,
12,-2074.6132602992097,2.771440316392013e-09,Portugal,rational,0.0,0.0,1.2560512556294454,1.0035950106841591,0.0744517080572748,1.9500961607271363,0.010568848803722523,1.6406426313015445e-15,0.06441589880988911,,
13,-2061.753538242779,3.757297913300216e-09,Belgium,exp,0.0,0.0,0.3523801414967212,0.3377375382235767,0.14847620317745902,0.4079524536929749,0.39420698592285375,1.2417788208749633e-08,0.02212663316288151,,
14,-2058.7897229113332,1.0804837524453596e-08,Spain,exp,0.0,0.0,0.7263093951020977,0.6858271295413338,3.5946227944595104,0.002800292872090489,0.28257864229258955,1.9317198603905904e-09,0.01790009850390291,,
15,-2049.2651634911895,3.520137824860188e-09,Portugal,exp,0.0,0.0,0.5827964663740683,0.8713867253594836,0.04619386928765356,0.8564762088300356,2.9229854166168952e-05,1.3540991436651361e-11,0.03876678465488899,,
16,-2028.8818293926654,4.186762757781911e-09,Portugal,fermi,0.0,0.0,0.1129175927357106,0.4683023999448319,0.0295995988128351,1.292122629400553,0.09088799056485597,1.2408469636347304e-08,0.051019137487361664,28.374903724014306,
17,-2005.9957756687845,1.6936954825101057e-08,Spain,fermi,0.0,0.0,0.2454292182312245,0.5029019521135483,0.30616711765824484,0.8617812839992582,0.0022419767360354072,5.110965710418008e-08,0.016839367551801952,23.635946567705076,
18,-1906.588673222238,6.338489288939951e-08,Italy,lock,0.0,0.0,2.8914849665106463,0.9300398163380094,2.419083204589659,21.597412969998906,0.4598827961059481,1.831150699900161e-11,,23.000015557408318,2.1394954014256244
19,-1889.0634786253916,3.518190174031198e-08,Germany,lock,0.0,0.0,0.2903545580094313,1.8309263128198283,2.8881010320635485,0.8913106366241387,0.0961514041794016,8.683631882840716e-15,,23.9672641797308,0.7135819408522983
20,-1780.3930567574985,6.958824027264134e-08,United Kingdom,lock,0.0,0.0,0.6036077563223041,0.7289811982724573,0.8140394927214154,0.766044322296945,0.0025851826763454776,1.3668535374893116e-10,,24.918052534982337,0.40297967791708944
21,-1765.3298188971314,5.031320389115093e-08,Portugal,lock,0.0,0.0,0.4278318679729313,0.40651496718955216,0.4476063644756488,0.4196946770177527,0.2253265836804581,1.0096634628561913e-08,,24.075976600130534,0.21966929753305325
22,-1708.864231149552,2.3485788946299424e-07,Spain,lock,0.0,0.0,0.20274355440016795,1.0883480917600856,3.3243846802159087,0.018985258976840443,1.0136265954795916,8.582149776692828e-09,,24.000088830185984,0.6370348360008838
23,-1642.3504144348115,1.857987006128032e-07,Belgium,lock,0.0,0.0,0.05521005940900619,0.7585079387701433,0.5328050474600591,0.39414371258173203,0.010817662002746505,1.857482728009486e-08,,23.000002078901517,0.2286980452910337
