,AIC,cost,country,time,a,r,beta,mu,I0,alpha,t_lock,beta_lock
0,-2392.126383975694,1.0153971006911656e-09,Italy,fermi,1.0,0.0,0.5279732354215074,0.00015748450436645902,2.0296081862605472e-09,0.060693649846198926,4.984973479463247,
1,-2338.702258977302,1.6373415970317066e-09,Italy,exp,1.0,0.0,0.8174333035138249,0.009883160131736677,1.0478169457143794e-09,0.05012621789251468,,
2,-2338.222499817708,6.492796125589715e-10,Germany,fermi,1.0,0.0,0.6058732887932226,3.0073014532136384e-05,6.500659353851288e-13,0.08117322782690801,15.6607814983338,
3,-2310.735415997408,2.0837463911414677e-09,Italy,rational,1.0,0.0,0.43473269721111424,0.09426859828860354,5.606928925000293e-08,0.03007873780993707,,
4,-2284.65749252896,7.332349177460126e-10,United Kingdom,exp,1.0,0.0,1.090995021505803,5.9034326952689344e-06,1.07584609881552e-12,0.047443932877329016,,
5,-2264.886481311087,8.630761611076042e-10,United Kingdom,fermi,1.0,0.0,0.5564086216746208,4.7145858329643165e-06,1.573490680184965e-10,0.04960683341393608,3.5860396514002835,
6,-2264.516620891489,8.820465015603423e-10,United Kingdom,rational,1.0,0.0,0.6777823821552046,0.0695412462919738,5.033394015153254e-11,0.036962402725340994,,
7,-2259.1844124053587,1.3474057008039431e-09,Germany,rational,1.0,0.0,0.8012584397774338,0.14407880987040514,6.903677393444439e-11,0.0375404772540321,,
8,-2251.390040816291,1.4454209649570232e-09,Germany,exp,1.0,0.0,0.9747631818547052,0.08949474498384838,4.8547713593142286e-11,0.03985921658943013,,
9,-2192.77321257284,1.1463698516248338e-09,Belgium,fermi,1.0,0.0,0.3589396172335228,0.0011072639523583463,4.389926546816594e-10,0.07065933929300308,20.327097866099294,
10,-2187.6159946017083,3.5799064943651266e-09,Spain,fermi,1.0,0.0,0.7327154742282416,0.0012990447026655653,1.886535953159688e-15,0.0858176630378414,18.047790704077467,
11,-2170.2691233760675,1.4413936791626115e-09,Belgium,rational,1.0,0.0,1.1728359063085725,0.10529901501986788,4.497106580913367e-13,0.051324240283527715,,
12,-2136.0284540818147,5.752086758416973e-09,Spain,exp,1.0,0.0,1.7085940216627085,0.062036996635021,5.841839815262111e-15,0.05204867903920814,,
13,-2124.5583973366693,6.366613085297583e-09,Spain,rational,1.0,0.0,1.3169805978853737,0.15741249560845294,2.415336088915957e-14,0.04659335540773815,,
14,-2123.0891586770676,2.2401542560746127e-09,Belgium,exp,1.0,0.0,0.8183668923155832,0.07362273715254107,4.707789434686618e-10,0.036880528212394494,,
15,-2084.078404894021,2.6823066416616486e-09,Portugal,exp,1.0,0.0,1.5393362058790583,0.0014875583340296285,2.1068317816407048e-13,0.06253156274151381,,
16,-2076.5750920854057,2.825245198879578e-09,Portugal,fermi,1.0,0.0,0.8374947222580121,8.86487538525576e-08,6.361374546398707e-11,0.0640795235377118,0.1995539660135585,
17,-2059.677770602092,3.376608403022513e-09,Portugal,rational,1.0,0.0,0.7772896232759351,0.08337474388555992,1.8135007131611244e-10,0.04608312401216787,,
18,-1907.363396758808,3.1491627662206955e-08,Germany,lock,1.0,0.0,0.4022573749400916,0.1688111798356775,1.4096811800936323e-07,,33.0,0.15848623652728164
19,-1875.8843379348016,8.697687111523086e-08,Italy,lock,1.0,0.0,0.2931309840315678,0.08135454826495728,5.860644327754286e-07,,34.0,0.07810520462567615
20,-1778.365122273429,4.708228232908603e-08,Portugal,lock,1.0,0.0,0.4121964785269404,0.15404634033214246,1.4978682654853639e-07,,30.0,0.1540908635764089
21,-1776.5738070346135,7.614812459834909e-08,United Kingdom,lock,1.0,0.0,0.3319738187765421,0.115607949325616,2.790244661994089e-07,,32.0,0.13163674798090386
22,-1757.4562619325588,6.701945934095878e-08,Belgium,lock,1.0,0.0,0.34835725464902034,0.1370979963509528,1.618659489464217e-07,,41.0,0.12647121269705855
23,-1709.4634864581185,2.4635530085709447e-07,Spain,lock,1.0,0.0,0.4339199691429712,0.1777728572602548,2.188661981154342e-07,,31.0,0.17156006597936782
